# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = nullml_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = checking.data.R
# init = checking.init.R
# random
#   seed = 782630709
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_raw,tau_theta,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,mu_theta,alpha
# Adaptation terminated
# Step size = 0.105792
# Diagonal elements of inverse mass matrix:
# 1.56706e-05, 0.131556, 0.0275045, 0.0321792, 0.0283959, 0.0340268, 0.0358156, 0.0274527, 1.37206
-8031.39,0.930397,0.105792,5,63,0,8036.95,0.0274756,5.7663,-6.88481,-7.44091,-6.88973,-7.12345,-6.81008,-7.0456,-1.14151,1.31621
-8033.64,0.84829,0.105792,4,31,0,8042.82,0.0269038,4.93053,-6.9657,-7.62339,-6.77767,-6.81116,-6.79388,-7.02918,-1.97172,1.30871
-8031.02,0.949357,0.105792,4,31,0,8036.84,0.0274519,7.13103,-6.83421,-7.33458,-6.94879,-6.79494,-6.72334,-6.98001,-1.82153,1.3159
-8029.63,0.984445,0.105792,4,15,0,8035.64,0.0269318,4.17708,-6.92933,-7.47426,-6.81536,-6.68454,-6.86523,-6.93662,-1.69427,1.30907
-8028.42,0.952579,0.105792,4,31,0,8033.66,0.0265387,5.90522,-6.84217,-7.32978,-6.82569,-6.66037,-6.74376,-6.88614,-0.390408,1.30394
-8030.77,0.989987,0.105792,4,15,0,8033.96,0.0252528,5.10577,-6.83612,-7.30425,-6.7482,-6.8439,-6.78174,-6.7231,-0.146138,1.28728
-8030.22,0.97377,0.105792,4,15,0,8034.56,0.0268529,5.40016,-6.85992,-7.35769,-6.84279,-6.77745,-6.67672,-6.87899,0.414614,1.30804
-8028.54,0.999549,0.105792,4,15,0,8031.31,0.0260789,6.01585,-6.8779,-7.37152,-6.85156,-6.77,-6.71835,-6.88139,-0.0998514,1.29795
-8029.29,0.994044,0.105792,5,47,0,8032.38,0.0293242,6.65829,-7.0497,-7.47452,-6.97755,-6.96752,-6.97094,-7.1306,-1.88195,1.34077
-8031.03,0.889462,0.105792,4,15,0,8034.65,0.029664,7.13808,-6.99526,-7.50223,-7.04026,-7.09978,-6.9708,-7.02368,-2.39635,1.34533
-8030.58,0.980553,0.105792,4,31,0,8035.89,0.0294484,6.79852,-6.96827,-7.60933,-7.02982,-6.88856,-6.836,-7.12951,-1.86736,1.34243
-8029.81,0.970182,0.105792,4,15,0,8034.08,0.0291145,4.4058,-6.92871,-7.49349,-6.97233,-6.96855,-7.06142,-7.18924,-1.59112,1.33796
-8031.31,0.981418,0.105792,5,47,0,8038.41,0.0280256,8.5375,-6.86653,-7.66269,-6.91211,-6.91801,-6.76305,-6.99561,-0.799155,1.32347
